Taxable status,State/ Territory1,Postcode,"Number of individuals
no.","Total Income or Loss3
no.","Total Income or Loss3
$","Total work related expenses
$","Low income tax offset
no.","People with private health insurance
no."
Non Taxable,ACT,2600,990,968,"14,187,298","163,409",167,709
Non Taxable,ACT,2601,926,904,"8,935,277","106,730",71,360
Non Taxable,ACT,2602,"3,940","3,848","50,814,577","558,915",609,"2,093"
Non Taxable,ACT,2603,"1,038","1,004","13,428,907","185,628",168,678
Non Taxable,ACT,2604,"1,174","1,143","14,914,161","189,025",176,690
Non Taxable,ACT,2605,"1,392","1,356","18,780,190","180,888",221,909
Non Taxable,ACT,2606,"1,168","1,132","14,624,196","284,344",194,595
Non Taxable,ACT,2607,"1,827","1,782","23,162,994","308,659",289,"1,131"
Non Taxable,ACT,2608,20,19,"223,094","1,049",1,10
Non Taxable,ACT,2609,117,115,"1,787,206","19,574",19,51
Non Taxable,ACT,2610,8,6,"95,673","1,158",3,2
Non Taxable,ACT,2611,"3,337","3,268","47,873,115","563,691",571,"2,040"
Non Taxable,ACT,2612,"1,967","1,904","23,816,217","391,461",297,935
Non Taxable,ACT,2614,"2,555","2,506","35,492,570","479,488",404,"1,456"
Non Taxable,ACT,2615,"5,041","4,892","66,356,082","1,006,937",876,"2,575"
Non Taxable,ACT,2616,32,30,"374,186",254,6,15
Non Taxable,ACT,2617,"4,445","4,314","55,697,334","918,286",671,"2,030"
Non Taxable,ACT,2900,235,229,"3,371,539","39,959",52,112
Non Taxable,ACT,2901,13,13,"192,212",347,5,5
Non Taxable,ACT,2902,"1,828","1,787","24,200,222","317,927",308,"1,043"
Non Taxable,ACT,2903,"1,143","1,130","14,817,578","250,972",166,605
Non Taxable,ACT,2904,"1,529","1,502","20,471,021","159,494",264,999
Non Taxable,ACT,2905,"3,085","3,005","40,972,397","712,271",510,"1,554"
Non Taxable,ACT,2906,"1,799","1,747","23,083,462","407,614",301,938
Non Taxable,ACT,2911,443,423,"4,696,958","84,862",68,218
Non Taxable,ACT,2912,794,760,"9,049,978","213,115",125,315
Non Taxable,ACT,2913,"4,058","3,901","47,335,486","813,202",651,"2,046"
Non Taxable,ACT,2914,"2,656","2,556","28,957,914","492,038",393,"1,260"
